id,acquiring_company_id,acquired_company_id,term_code,price_amount,acquired_at
4962,65986,65985,,0,2011-01-03
4963,26071,65991,cash,75000000,2010-11-22
4964,63850,65992,,0,2010-11-22
4965,10119,25966,,0,2010-11-20
4966,1727,37929,cash,60000000,2011-01-12
4967,29208,66000,,0,2011-01-11
4968,66014,66015,,0,2010-01-01
4969,21665,66021,,0,2010-11-04
4970,66027,58353,,9000000,2010-10-21
4971,66055,22571,,121500000,2011-01-11
4972,55109,39620,,0,2011-01-11
4973,66057,66058,,0,2011-01-11
4974,57929,66069,,0,2011-01-10
4975,66086,32788,,0,2011-01-10
4976,24274,66089,,0,2011-01-13
4977,18871,767,cash_and_stock,120000000,2011-01-13
4978,64659,66098,,0,2010-11-04
4979,66104,66103,,0,2010-10-19
4980,58548,66107,,0,2010-10-27
4981,6676,26774,cash,53000000,2011-01-13
4982,59,66165,,0,2011-01-12
4983,66178,66179,,0,2010-12-06
4984,66183,66181,,0,2011-01-14
4985,66190,66189,,0,2010-10-18
4989,66229,58900,,0,2009-06-01
4990,66241,66237,,0,2010-11-10
4991,1445,25106,,0,2010-05-01
4992,66277,22646,,0,2010-09-02
4993,66317,66315,,0,2011-01-04
4994,12443,40267,,0,2011-01-04
4995,131,66327,,0,2011-01-13
4996,17184,66328,,0,2011-01-04
4997,66334,1879,,0,2011-01-17
4998,21125,66415,,0,2011-01-17
5000,32264,66418,,520000000,2011-01-13
5001,20972,14861,cash,190000000,2011-01-18
5002,66472,66474,,0,2011-01-18
5003,23320,54260,cash_and_stock,0,2010-12-31
5004,9494,66506,,0,2011-01-01
5006,66542,52856,,0,2011-01-06
5007,40900,66543,,0,2011-01-07
5008,33440,66552,,0,2011-01-12
5009,66554,66556,cash,31000000,2011-01-13
5010,23656,41267,,0,2011-01-18
5011,26842,66592,,0,2011-01-18
5012,29543,66628,,0,2011-01-18
5013,2161,1716,,0,2011-01-18
5014,32435,66635,,375000000,2011-01-20
5015,283,25076,,0,2011-01-18
5016,66644,30020,,0,2011-01-18
5017,44615,47649,,0,2011-01-18
5018,15013,27339,,0,2011-01-18
5019,20442,7054,,34000000,2011-01-18
