id,object_id,degree_type,subject
3876,p:15104,MS,Literature
3877,p:5744,BS,School of Public Administration
3878,p:39166,BS,Finance
3879,p:39167,JD,
3880,p:39168,MS,Economics
3881,p:39169,MBA,
3882,p:39170,MS,
3883,p:39171,MS,Business Administration
3884,p:39172,MBA,
3885,p:39174,MBA,
3886,p:39175,BA,
3887,p:39176,MBA,Finance and international marketing
3888,p:39178,MBA,
3889,p:39179,MS,Computer Science & Engineering
3890,p:39180,Graduation,
3891,p:39181,BS,Accounting
3892,p:39182,BA,
3893,p:39183,MBA,Finance and Econometrics
3894,p:39186,BS,Finance
3895,p:39187,MS,
3896,p:38758,PhD,Finance and Operations Research
3897,p:38758,MBA,Finance and International Business
3898,p:38759,MBA,Business
3899,p:39200,JD,Law
3900,p:39200,BA,Law and Society
3901,p:39204,BA,
3902,p:39204,MBA,School of Business
3903,p:7948,BA,Economics
3904,p:7948,MA,
3905,p:39220,BA,History
3906,p:39220,JD,Law
3907,p:39220,MA,Russian Studies
3908,p:39220,LLM,Russian Law
3909,p:39227,B.M.,Music History
3910,p:39227,M.Div.,Theology
3911,p:39252,BS,Economics & Accounting
3912,p:39253,LLM,
3913,p:39254,MS,
3914,p:39259,MD,
3915,p:39260,BS,Chemical Engineering
3916,p:39266,BA,International Affairs
3917,p:39267,MS,
3918,p:39279,BA,Economics
3919,p:39280,PhD,Bioengineering
3920,p:39284,BS,Physics
3921,p:39305,MBA,Finance and Investments
3922,p:39316,MA,
3923,p:39334,MS,Management Science & Engineering
3924,p:39335,MBA,
3925,p:39338,MS,
3926,p:39339,Bachelors degrees,Economics and finance
3927,p:39341,MBA,
3928,p:39342,Ingenieur diplome d'etat,fornage
3929,p:39343,Doctorate degree,Physical chemistry
3930,p:39344,MBA,Business administration
3931,p:39345,BS,Biology
3932,p:39346,Master and Bachelor degrees,Business Administration
3933,p:39351,MBA,
3934,p:39352,PhD,Engineering
3935,p:39360,Law degree,
3936,p:39378,PhD,Physics
3937,p:39384,PhD,Nuclear engineering
3938,p:39385,Ph.D. and M.S.,Nuclear Engineering
3939,p:39386,MS,Economics
3940,p:39387,MS,
3941,p:39388,MBA,
3942,p:39389,MA,
3943,p:22124,Master of Commerce (with distinc,Entrepreneurship and Management
3944,p:22124,Postgraduate Diploma (with disti,Management
3945,p:39392,MBA,
3946,p:39393,BS,Business administration
3947,p:39394,MSE,
3948,p:39395,MSE,
3949,p:39396,BS,Foreign relations
3950,p:39397,MBA,
3951,p:39410,BA,Government and Economics
3952,p:39410,JD,Law
3953,p:39411,BA,
3954,p:39411,MBA,Business
3955,p:16,BA,Computer Information Systems
3956,p:17,,Electrical Engineering
3957,p:31213,Bachelors with Honors,Computer Science
3958,p:39462,BS,Computer Science
3959,p:39472,BA,Economics
3960,p:39473,BS,Business administration
3961,p:39498,MS,
3962,p:39499,BA,Political Science
3963,p:39507,BSFS,International Security
3964,p:39507,MBA,Business
3965,p:39513,MS,Business Administration
3966,p:39514,BS,
3967,p:38308,BA,
3968,p:38308,,Wadham College
3969,p:4049,BS,Electrical Engineering
3970,p:4049,MBA,
3971,p:38968,BA,Chemistry
3972,p:39524,MBA,
3973,p:39524,BA,
3974,p:39526,MBA,
3975,p:39526,BA,Economics
3976,p:39401,BA,"Psychology, Information Technology"
3977,p:39527,BS,Computer Science
3978,p:39527,MS,Computer Science
